episode,rewards_total
1,72
2,75
3,75
4,57
5,120
6,90
7,69
8,69
9,60
10,96
11,96
12,75
13,57
14,99
15,63
16,84
17,90
18,75
19,81
20,90
21,87
22,87
23,90
24,63
25,87
26,60
27,63
28,69
29,75
30,66
31,90
32,87
33,63
34,81
35,96
36,75
37,81
38,72
39,69
40,78
41,81
42,72
43,72
44,72
45,75
46,72
47,69
48,72
49,75
50,72
51,69
52,69
53,75
54,75
55,66
56,66
57,66
58,78
59,141
60,60
61,66
62,69
63,75
64,96
65,252
66,252
67,252
68,252
69,252
70,252
71,252
72,252
73,252
74,252
75,252
76,252
77,252
78,252
79,252
80,252
81,252
82,252
83,252
84,252
85,234
86,60
87,60
88,237
89,252
90,252
91,252
92,252
93,252
94,252
95,252
96,252
97,252
98,252
99,78
100,99
101,75
102,78
103,78
104,120
105,252
106,126
107,81
108,81
109,69
110,78
111,252
112,252
113,252
114,108
115,138
116,252
117,69
118,78
119,81
120,75
121,51
122,72
123,93
124,252
125,252
126,252
127,252
128,252
129,75
130,78
131,78
132,75
133,75
134,75
135,75
136,75
137,75
138,75
139,75
140,78
141,78
142,78
143,78
144,78
145,75
146,81
147,81
148,78
149,78
150,81
151,75
152,78
153,75
154,75
155,66
156,78
157,78
158,78
159,84
